Perusahaan,Posisi,kategori_posisi,kota,gaji_angka,list_skill,pendidikan_clean,jenis_clean
"NGA HR (Arinso International Phils., Inc.)",Workday Finance Senior Specialist,Other,Jakarta Raya(Hibrid),21500000.0,[],S1,full time
KOPERASI JASA PT INFRASTRUKTUR TELEKOMUNIKASI INDONESIA,MBP (Maintenence Backup Power) Telco,Other,Tangerang,4500000.0,[],Tidak Disebutkan,kontrak/temporer
Jasnikom Gemanusa,Senior Sales Oil & Gas,Sales / Presales / Solution,Jakarta Pusat,,['networking'],S1,full time
PT. DCT TOTAL SOLUTIONS,RND Software Engineer,Other,Bekasi,7500000.0,"['flutter', 'git', 'mongodb', 'mysql', 'node.js', 'postgresql', 'react', 'react native', 'typescript']",Diploma,full time
Indofood Group,IT Service Operation,Other,Jakarta Selatan,,"['excel', 'sql']",S1,full time
PT Yokogawa Indonesia,Network Security Engineer,Security / Cybersecurity,Jakarta Selatan,,['tcp/ip'],S1,full time
PT XL Axiata Tbk,Senior DevOps Engineer,DevOps / Cloud / SRE,Jakarta Raya,,"['agile', 'angular', 'docker', 'java', 'jenkins', 'kubernetes', 'networking', 'php', 'python', 'react', 'scrum', 'terraform']",S1,full time
PT. Kalbe Farma Tbk. (International Division),IT Programming Internship,Other,Jakarta Timur,,['react'],Tidak Disebutkan,kontrak/temporer
"TRT Shared Services, OPC",Global Support Services Engineer,Support / Helpdesk / IT Ops,Jakarta Barat,44875000.0,"['networking', 'oracle']",Tidak Disebutkan,full time
"PT Tira Austenite, Tbk",IT Supervisor,Other,Jakarta Raya,10000000.0,"['.net', 'cybersecurity', 'java', 'networking', 'oracle', 'php', 'python', 'sql']",Diploma,full time
PT Indocyber Global Teknologi,Mobile Developer,Mobile Developer,Jakarta Raya,,"['kotlin', 'mysql', 'postgresql']",S1,kontrak/temporer
PT Saptakarsa Prima,Junior IT Support,Support / Helpdesk / IT Ops,Tangerang District,5500000.0,[],Tidak Disebutkan,full time
PT Dipo Star Finance,IT Governance,Other,Jakarta Pusat,,[],Tidak Disebutkan,full time
PT Nusantara Compnet Integrator,Presales Engineer,Sales / Presales / Solution,Jakarta Raya,,[],S1,full time
PT Trinusa Travelindo,Technical Product Manager,Product / Project / Scrum,Jakarta Raya(Hibrid),,[],S1,full time
"PT. Bank Mega, Tbk",Management Information System Specialist Front End Developer,Frontend Engineer,Jakarta Raya,,"['git', 'javascript', 'react']",S1,full time
PT Home Credit Indonesia,Senior Cloud Engineer,DevOps / Cloud / SRE,Jakarta Selatan,,"['azure', 'kubernetes', 'linux', 'redis', 'sql']",S1,full time
PT. Kanemory Food Service,Staff IT/GA,Other,Serang,5450000.0,[],S1,kontrak/temporer
PT Autoline Jaya Motor,Head IT Progammer,Other,Jakarta Barat,,"['.net', 'sql']",Diploma,kontrak/temporer
PT Intergastra Nusantara,IT Developer,Other,Jakarta Pusat,,"['.net', 'c', 'c#', 'css', 'html', 'javascript', 'node.js', 'python']",Diploma,full time
PT Petrolink Services Indonesia,Web Developer,Other,Jakarta Raya(Hibrid),,"['.net', 'agile', 'angular', 'c', 'c#', 'css', 'html', 'react']",Tidak Disebutkan,kontrak/temporer
VIRTUAL PROPERTI PLUS,IT Functional Consultant,Sales / Presales / Solution,Jakarta Raya,5500000.0,['sql'],S1,full time
PT Profescipta Wahanatehnik,Application Engineer Supervisor (.NET),Other,Jakarta Timur,13500000.0,"['.net', 'linux', 'sql']",Tidak Disebutkan,full time
AVANADE ASIA PTE LTD,"Consulting - Associate Manager / Manager - Digital Strategy, Xperience (UX), AI",Frontend Engineer,Jakarta Pusat,,"['azure', 'c']",S1,full time
Midea Electronics Indonesia,Digital Transformation Specialist,Other,Jakarta Pusat,18500000.0,['cybersecurity'],S1,full time
PT Hitachi eBworx Indonesia,IT JAVA Programmer (Senior),Backend Engineer,Jakarta Pusat,,"['java', 'oracle', 'sql']",Tidak Disebutkan,full time
PT. Kredit Utama Fintech Indonesia,Cloud Engineer,DevOps / Cloud / SRE,Jakarta Pusat,,"['aws', 'docker', 'jenkins', 'kubernetes', 'linux', 'networking', 'terraform']",S1,full time
DC Group Capital Indonesia,Product Automation Operations Lead,Other,Jakarta Selatan,12500000.0,[],Tidak Disebutkan,full time
Jakarta Intercultural School,Technical Support Specialist,Support / Helpdesk / IT Ops,Jakarta Selatan,,['ios'],S1,kontrak/temporer
PT. Berkat Maritim Abadi,Senior IT,Other,Jakarta Utara,,"['excel', 'linux', 'mysql', 'networking', 'postgresql', 'python', 'sql', 'tcp/ip']",S1,full time
PT Nusantara Compnet Integrator,Onsite Security Engineer (Red & Blue Team),Security / Cybersecurity,Jakarta Raya,,"['cybersecurity', 'penetration testing']",S1,kontrak/temporer
PT. Amalura Multi Dimensi,QA Engineer (onsite at Yogya),QA / Tester,Yogyakarta,5000000.0,['azure'],S1,kontrak/temporer
PT Multi Guna Maritim,Quality Assurance & Internal System Support,QA / Tester,Jakarta Barat,,"['go', 'git', 'javascript', 'php', 'sql']",S1,kontrak/temporer
PT Anabatic Technologies,Project Management Officer (IT / Payroll / Operation MPHRO / Call Center),Other,Jakarta Raya,,[],S1,full time
Bunga Wedding Planner,Project Manager Assistant,Product / Project / Scrum,Bekasi Barat,5000000.0,[],Tidak Disebutkan,full time
PT Haidilao Indonesia Restaurants,IT Supervisor 信息部主管 (Mandarin Speaker),Other,Jakarta Barat,26500000.0,[],Tidak Disebutkan,full time
PT Inertia Utama (Member of Dexa Group),Oracle Functional,ERP / SAP / Odoo / Dynamics,South Tangerang,,"['agile', 'oracle', 'scrum']",S1,full time
PT ZTE Indonesia,PS Core Engineer,Other,Jakarta Raya,,[],Tidak Disebutkan,full time
PT Saraswanti Indo Genetech,Staff IT Helpdesk,Support / Helpdesk / IT Ops,Bogor,,[],Tidak Disebutkan,full time
PT.JAGOGO ANALISA GEMILANG,SIT / UAT Tester,QA / Tester,Jakarta Raya,7250000.0,"['c', 'sql']",S1,full time
PT Prawathiya Karsa Pradipta,IT BUSINESS ANALYST,Business / System Analyst,Bekasi,,"['agile', 'angular', 'figma', 'flutter', 'java', 'oracle']",S1,full time
PT SME Solution,ERP TECHNICAL CONSULTANT,ERP / SAP / Odoo / Dynamics,Surabaya,,['android'],S1,full time
PT Infonet Mitra Sejati,Sales Project (IT Product),Sales / Presales / Solution,Jakarta Utara,5750000.0,['excel'],Tidak Disebutkan,full time
PT OBS SOLUSI TEKNOLOGI INDONESIA,Java Developer,Backend Engineer,Tegalsari,6800000.0,"['java', 'spring boot', 'sql']",Tidak Disebutkan,full time
PT. Nashta Global Utama,Odoo Developer,ERP / SAP / Odoo / Dynamics,Depok,7250000.0,[],S1,kontrak/temporer
ASRI (a subsidiary of Agung Sedayu Group),CCTV Staff – MOI,Other,Jakarta Raya,,[],Tidak Disebutkan,full time
PT. Mitra Kreasi Garmen (Mills),IT Internship,Other,Jakarta Barat,99500.0,[],Tidak Disebutkan,paruh waktu
Google,"Technical Account Manager, Google Cloud Consulting",DevOps / Cloud / SRE,Jakarta Raya,,"['google cloud', 'networking']",S1,full time
PT JAC Consulting Indonesia,IT Manager (IoT/ Pharmaceutical Manufacturing),Other,Kabupaten Bekasi,19000000.0,"['cybersecurity', 'iot']",Tidak Disebutkan,full time
PT Datacomm Diangraha,Cloud Consultant,DevOps / Cloud / SRE,Jakarta Selatan,,"['aws', 'azure']",S1,full time
Pengiklan Anonim,Senior IT Manager,Other,Jakarta Selatan,,"['cybersecurity', 'mysql', 'postgresql']",S1,full time
PT Hino Motors Sales Indonesia,IT Project Management Office & Business,Other,Jakarta Raya,,"['agile', 'go', 'scrum']",S1,full time
Berjaya Teknologi Siber,Pre-Sales & Technical Engineer,Sales / Presales / Solution,Jakarta Raya(Hibrid),7000000.0,"['linux', 'networking']",Diploma,kontrak/temporer
PT Ingram Micro Indonesia,Product Manager - Microsoft,Product / Project / Scrum,Jakarta Pusat,,[],Diploma,kontrak/temporer
PT Hero Retail Nusantara,Senior Programmer,Other,Bekasi,,"['.net', 'java', 'php']",S1,kontrak/temporer
PT Trinusa Travelindo,Data Engineer - Data Warehouse,Data / AI,Jakarta Raya,,"['aws', 'docker', 'kubernetes', 'machine learning', 'python', 'spark', 'sql']",Tidak Disebutkan,full time
PT Wira Arta Telematika,NETWORK ENGINEER,Network / Infra / SysAdmin,Jakarta Raya,,"['networking', 'tcp/ip']",Diploma,full time
PT E-Tirta Medical Center,System Analyst,Business / System Analyst,Jakarta Pusat,,"['agile', 'figma', 'jira', 'sql', 'ui/ux']",Tidak Disebutkan,full time
PT Mitra Mandiri Informatika,System Technology Services Manager,Other,Jakarta Raya,22500000.0,['cybersecurity'],S1,full time
PT Trinusa Travelindo,Business Analyst,Business / System Analyst,Jakarta Raya,,[],S1,full time
PT. Zhisheng Pacific Trading (Mixue),Analisis Data Spesialist platform Mandarin Speaker,Data / AI,Jakarta Raya,12500000.0,['excel'],Tidak Disebutkan,full time
PT. Kalbe Farma Tbk. (International Division),IT Developer Intern (IT Data Division),Data / AI,Jakarta Timur,,"['git', 'python', 'react', 'sql']",Tidak Disebutkan,kontrak/temporer
PT. Integra Mitra Solusi,Presales Engineer (Security System),Security / Cybersecurity,Jakarta Utara,6750000.0,"['excel', 'linux', 'tcp/ip']",Tidak Disebutkan,full time
PT Acclime Consulting Indonesia,Group Infra & DevSecOps Engineer,Network / Infra / SysAdmin,Jakarta Selatan,,"['agile', 'aws', 'azure', 'docker', 'go', 'jenkins', 'kubernetes', 'python', 'scrum', 'terraform']",S1,full time
"PT. Metrodata Electronics, Tbk",Junior Developer (Java / .NET / WebMethods),Backend Engineer,Jakarta Raya,,"['.net', 'java']",S1,kontrak/temporer
PT Graha Karya Informasi,Technical Delivery Manager,Other,Jakarta Pusat,22500000.0,['go'],Tidak Disebutkan,kontrak/temporer
PT Trinusa Travelindo,Mobile Engineer (Android),Mobile Developer,Jakarta Raya,,"['android', 'git', 'java', 'kotlin']",S1,full time
PT Formulatrix Indonesia,Senior Software Engineer,Other,Bandung,,"['.net', 'c', 'c#', 'c++', 'java', 'linux', 'postgresql', 'pytorch', 'raspberry pi', 'sql', 'tensorflow']",S1,full time
Bahtera Pesat,IT Transaction Processing,Other,South Tangerang,9500000.0,[],Tidak Disebutkan,full time
PT Nomura Research Institute Indonesia,Business & System Analysis consultant,Sales / Presales / Solution,Jakarta Raya(Hibrid),,[],S1,kontrak/temporer
PT Merak Jaya Beton,Programmer,Other,Surabaya,,"['c', 'c++', 'java', 'oracle', 'python']",S1,full time
Pengiklan Anonim,AI Operator,Data / AI,Jakarta Barat,9250000.0,[],S1,full time
AME Mineral Economics Pty Ltd,Senior Full Stack Developer,Fullstack Engineer,Jakarta Selatan,15000000.0,"['.net', 'agile', 'angular', 'c', 'c#', 'css', 'git', 'typescript']",S1,full time
PT. INTERNET PRATAMA INDONESIA TBK,Network Project Engineer,Network / Infra / SysAdmin,Jakarta Raya,,['networking'],S1,full time
PT Young Home Style,Software Engineer,Other,South Tangerang,,"['agile', 'aws', 'azure', 'flutter', 'git', 'python', 'typescript']",Tidak Disebutkan,full time
VIRTUAL PROPERTI PLUS,MOBILE DEVELOPER ( ANDROID/IOS) - FLUTTER / DART / REACT,Frontend Engineer,Jakarta Raya,6250000.0,"['android', 'flutter', 'ios', 'react']",Tidak Disebutkan,full time
PT Cipta Karya Technology,HEAD OF IKR,Other,Jakarta Timur,,[],S1,kontrak/temporer
PT Indo Online Mitra Usaha (Vox Asia / BraveHub),Service Delivery Team Lead (Managed Services),Other,Bandung,,[],S1,full time
PT Prudential Life Assurance,Apprenticeship - Product Design (Strategic Initiatives),Other,Jakarta Selatan,,['excel'],Tidak Disebutkan,kontrak/temporer
"PT Japfa Comfeed Indonesia, Tbk",Fullstack Developer (Freelance On-site),Fullstack Engineer,Jakarta Raya,,"['aws', 'css', 'docker', 'figma', 'html', 'javascript', 'kubernetes', 'laravel', 'php', 'react', 'typescript', 'vue']",Tidak Disebutkan,kontrak/temporer
TUNTUN SEKURITAS INDONESIA,AI Engineer,Data / AI,Jakarta Utara,,"['deep learning', 'golang', 'java', 'machine learning', 'node.js', 'python', 'pytorch', 'tensorflow']",S1,full time
FIBERSTAR (PT. Mega Akses Persada),Development ERP Associate (SAP ABAP Developer),Security / Cybersecurity,Jakarta Selatan,,[],Diploma,kontrak/temporer
"PT. Metrodata Electronics, Tbk",Database Administrator,Data / AI,Jakarta Raya,,"['oracle', 'postgresql', 'sql']",S1,kontrak/temporer
PT Panasonic Gobel Energy Indonesia (PECGI),D3 Data Analyst for Production Staff (CODE : PROD DA),Data / AI,Kabupaten Bekasi,,"['excel', 'java', 'sql']",Diploma,full time
PT Tiga Berlian Mandiri,QC Web Developer Senior Staff,Other,Surabaya,,[],Diploma,full time
PT Sisindokom Lintasbuana,L2 Oracle Database Engineer,Data / AI,Bandung,,['oracle'],S1,full time
PT Sepulsa Teknologi Indonesia (Jakarta),Software Engineer,Other,Jakarta Selatan,,"['kubernetes', 'machine learning', 'mongodb', 'mysql', 'postgresql', 'redis']",S1,full time
PT Plaza Auto Prima,IT Application Support Engineer,Support / Helpdesk / IT Ops,Jakarta Raya,,[],S1,full time
PT Datacaraka Solusindo,Software Quality Assurance,QA / Tester,Jakarta Barat,6500000.0,"['.net', 'excel', 'javascript', 'jira', 'sql']",S1,full time
PT CNF Global Talenta,Senior QA Engineer (Manual and Automation) *WFH/FT-Remote,QA / Tester,Jakarta Raya(Jarak jauh),14000000.0,"['agile', 'android', 'ios', 'scrum']",Tidak Disebutkan,full time
Halo Robotics,Robotics Software Engineer,Other,Jakarta Selatan,15000000.0,"['c', 'c++', 'deep learning', 'docker', 'linux', 'networking', 'python', 'pytorch', 'tensorflow']",S1,full time
PT Supra Boga Lestari Tbk,IT Application Customization FICO,ERP / SAP / Odoo / Dynamics,Jakarta Raya,,[],S1,full time
PT. CLT TOOLBOX INDONESIA,WEB DEVELOPER,Other,Kabupaten Semarang,6750000.0,"['docker', 'flask', 'go', 'git', 'java', 'jenkins', 'laravel', 'node.js', 'php', 'python']",S1,kontrak/temporer
PT Metrocom Global Solusi,Database Administrator (Oracle) – L1 / L2,Data / AI,Jakarta Selatan,7000000.0,"['oracle', 'sql']",Tidak Disebutkan,kontrak/temporer
PT Gunta Samba Jaya,PROGRAMMER,Other,Jakarta Raya,,"['.net', 'golang', 'postgresql', 'react', 'sql']",S1,full time
PT Swadharma Duta Data,IT Product Sales,Sales / Presales / Solution,Jakarta Timur,5250000.0,[],S1,full time
PT Sinergi Wahana Gemilang,IT Product Specialist,Other,Jakarta Raya,,[],Tidak Disebutkan,full time
Geniebook Pte. Ltd.,Mobile Lead (Strong iOS),Mobile Developer,Surabaya,,"['android', 'c', 'ios', 'kotlin', 'swift']",Tidak Disebutkan,full time
PT Sarana Pactindo,Web Java Developer,Backend Engineer,Bandung,6750000.0,"['java', 'laravel', 'mysql', 'php']",Tidak Disebutkan,full time
PT Indocyber Global Teknologi,Golang Developer,Backend Engineer,Jakarta Selatan,,"['docker', 'go', 'golang']",Tidak Disebutkan,full time
PT Adi Data Informatika,Performance Tester,QA / Tester,Jakarta Raya,,"['.net', 'java', 'oracle', 'sql']",Tidak Disebutkan,kontrak/temporer
"PT. Trimegah Sekuritas Indonesia, Tbk",Engineering Manager,Other,Jakarta Selatan,,"['android', 'aws', 'azure', 'ios', 'java', 'postgresql', 'terraform']",Tidak Disebutkan,full time
CSG International Sdn. Bhd.,SENIOR JAVA SOFTWARE ENGINEER,Backend Engineer,Jakarta Raya(Jarak jauh),,"['aws', 'azure', 'docker', 'java', 'kubernetes', 'linux']",Tidak Disebutkan,full time
Rolling Glory - Creative Digital Enabler,Software Quality Assurance,QA / Tester,Bandung,5625000.0,[],Tidak Disebutkan,full time
PT Autocomp Systems Indonesia,IT Support,Support / Helpdesk / IT Ops,Jakarta Pusat,,[],Tidak Disebutkan,full time
PT Indocyber Global Teknologi,Product Manager,Product / Project / Scrum,Jakarta Raya,,['agile'],S1,full time
PT Accenture,SAP Ariba,ERP / SAP / Odoo / Dynamics,Jakarta Raya(Hibrid),,[],Tidak Disebutkan,full time
PT Sandabi Indah Lestari,IT Infrastructure,Network / Infra / SysAdmin,Jakarta Pusat,,"['aws', 'azure', 'google cloud', 'linux', 'networking']",Diploma,full time
3E ACCOUNTING PTE LTD,Software Engineer Programmer Developer (Jakarta Work From Home),Other,Jakarta Raya(Jarak jauh),8500000.0,"['c', 'c++', 'java', 'sql']",Tidak Disebutkan,full time
"PT Asuransi Bintang, Tbk",(JV2601003) IT Service Desk Staff - Jakarta,Support / Helpdesk / IT Ops,Jakarta Selatan,,[],S1,full time
PT. Nashta Global Utama,Devops Engineer,DevOps / Cloud / SRE,Jakarta Raya,7500000.0,"['kubernetes', 'linux']",S1,full time
"PT. Metrodata Electronics, Tbk",Presales Support Jr.,Support / Helpdesk / IT Ops,Jakarta Raya,,[],Tidak Disebutkan,full time
PT Pasifik Global Integrasi,SOC Security Analyst,Security / Cybersecurity,Jakarta Selatan,,"['linux', 'networking', 'python', 'tcp/ip']",Tidak Disebutkan,full time
PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),SAP SD,ERP / SAP / Odoo / Dynamics,Jakarta Utara,,[],Tidak Disebutkan,full time
PT. Kredit Utama Fintech Indonesia,QA/Test Engineer,QA / Tester,Jakarta Pusat,,"['agile', 'sql']",S1,kontrak/temporer
Pengiklan Anonim,Operations Analyst,Business / System Analyst,Jakarta Raya,,[],S1,kontrak/temporer
Kawan Lama Group,Digital Product Lead,Other,Jakarta Raya,,['agile'],Tidak Disebutkan,full time
PT Askara Internal,Programmer,Other,Bekasi,5625000.0,"['html', 'javascript', 'laravel', 'mysql', 'php', 'postgresql']",Diploma,full time
TUNTUN SEKURITAS INDONESIA,Data Engineer,Data / AI,Jakarta Utara,,"['html', 'java', 'python', 'sql']",Tidak Disebutkan,full time
PT Indocyber Global Teknologi,Data Engineer,Data / AI,Jakarta Raya,,"['aws', 'azure', 'python', 'tableau']",S1,kontrak/temporer
PT Hanoman Cendekia Interaktif,Software Developer,Other,Jakarta Raya,,"['.net', 'go', 'java', 'javascript', 'mysql', 'postgresql', 'python', 'sql']",Diploma,kontrak/temporer
PT Dinamika Sistem Integrasi Solusi,Network Security Engineer,Security / Cybersecurity,Jakarta Raya,,"['linux', 'python', 'tcp/ip']",S1,full time
"PT. Trimegah Sekuritas Indonesia, Tbk",Senior Project Manager (Software Development),Product / Project / Scrum,Jakarta Selatan,,"['agile', 'java', 'postgresql', 'scrum', 'sql']",Tidak Disebutkan,full time
PT. Elabram Systems,Project Management Tower Controller,Other,Jakarta Raya,7250000.0,['excel'],S1,full time
PT MUAQ BERKAH SEJAHTERA,Senior Content Developer & Creator,Other,Jakarta Selatan,9000000.0,[],S1,full time
Universitas Ciputra Surabaya,IT Support Section Head,Support / Helpdesk / IT Ops,Surabaya,,[],S1,full time
PT IIJ Global Solutions Indonesia,Senior Network Security Engineer,Security / Cybersecurity,Jakarta Raya,6000000.0,['networking'],S1,full time
PT Mitra Transaksi Indonesia,Internal Audit (IT),Other,Jakarta Raya,,[],Tidak Disebutkan,full time
PT. LOTTE INNOVATE INDONESIA,Senior SAP HCM/HR and SuccessFactors,ERP / SAP / Odoo / Dynamics,Cilegon,,['go'],S1,full time
KGlobal Hub Pte Ltd,Database Administrator,Data / AI,Jakarta Raya,,"['linux', 'mysql', 'oracle', 'postgresql', 'tableau']",S1,full time
PT Nomura Research Institute Indonesia,DevOps & System Engineer,DevOps / Cloud / SRE,Jakarta Pusat,,"['aws', 'azure', 'go', 'kubernetes', 'networking', 'python', 'terraform']",Tidak Disebutkan,kontrak/temporer
PT Kodenusa Tekno Buana,Junior Cyber Security Analyst — Penetration Testing,Security / Cybersecurity,Jakarta Raya,7500000.0,"['networking', 'penetration testing', 'python']",Tidak Disebutkan,full time
PT Istana Group Indonesia,Fullstack Developer,Fullstack Engineer,South Tangerang,17500000.0,"['css', 'html', 'javascript', 'mongodb', 'mysql', 'postgresql', 'redis', 'sql', 'typescript']",S1,full time
Agile Technica,Techical Business Analyst,Business / System Analyst,Tangerang,6000000.0,"['agile', 'javascript', 'jira', 'python', 'scrum', 'sql']",S1,full time
PT Indocyber Global Teknologi,DevOps Engineer,DevOps / Cloud / SRE,Jakarta Raya,,"['aws', 'azure', 'docker', 'jenkins', 'kubernetes', 'linux', 'python', 'terraform']",S1,kontrak/temporer
PT ZTE Indonesia,5GC SITE Engineer,Other,Jakarta Raya,,[],Tidak Disebutkan,full time
PT SoftNet Indonesia,Network Security Engineer,Security / Cybersecurity,Jakarta Raya,,"['python', 'tcp/ip']",S1,kasual
"PT. Trimegah Sekuritas Indonesia, Tbk",DevOps Engineer,DevOps / Cloud / SRE,Jakarta Selatan,,"['agile', 'aws', 'azure', 'docker', 'go', 'jenkins', 'kubernetes', 'python', 'terraform']",S1,full time
PT. Cakra Radha Mustika,Backend Developer (Golang & Net Core) Staff,Backend Engineer,Yogyakarta,,"['.net', 'c', 'c#', 'docker', 'go', 'git', 'mongodb', 'postgresql', 'redis', 'sql']",Tidak Disebutkan,full time
Pengiklan Anonim,Android Mobile Developer (Strong English required),Frontend Engineer,Jakarta Barat,,"['android', 'java', 'kotlin', 'networking']",Tidak Disebutkan,full time
Pengiklan Anonim,RF/RAN Telecommunications Engineer (Fresh Graduate),Other,Jakarta Barat,,[],Diploma,full time
PT Inko Shilla Commerce,Integration Specialist,Other,Tangerang Regency,9000000.0,[],Tidak Disebutkan,full time
PT Ihsan Solusi Informatika (Bandung),Senior Infrastructure/Devops Engineer,DevOps / Cloud / SRE,Bandung,17500000.0,"['aws', 'docker', 'golang', 'jenkins', 'kubernetes', 'networking', 'python', 'redis', 'terraform']",Tidak Disebutkan,full time
PT ICP Cipta Prima,Frontend Developer,Frontend Engineer,Sleman,6250000.0,"['css', 'figma', 'git', 'html', 'javascript', 'react', 'typescript', 'vue']",Tidak Disebutkan,kontrak/temporer
"PT. Trimegah Sekuritas Indonesia, Tbk",Senior DevSecOps Engineer,Other,Jakarta Selatan,,"['aws', 'go', 'google cloud', 'kubernetes', 'networking', 'python', 'terraform']",Tidak Disebutkan,full time
VIRTUAL PROPERTI PLUS,Project Leader - ERP Software,ERP / SAP / Odoo / Dynamics,Jakarta Raya,8750000.0,['sql'],S1,full time
PT Integrasi Muda Teknologi,Website Specialist,Other,Tangerang,6500000.0,"['css', 'figma', 'go', 'html', 'javascript']",Diploma,full time
Semaphore Consulting,Mid-Senior Fullstack PHP Developer,Fullstack Engineer,Jakarta Selatan,13750000.0,"['git', 'javascript', 'laravel', 'mysql', 'php', 'postgresql', 'sql']",Tidak Disebutkan,full time
