Perusahaan,Posisi,kategori_posisi,kota,gaji_angka,list_skill,pendidikan_clean,jenis_clean
CV BERLIAN RETAIL,WEB DEVELOPMENT,Other,Surabaya,4500000.0,"['css', 'html', 'javascript', 'mysql', 'php']",S1,full time
"TRT Shared Services, OPC",IT Field Support Engineer,Support / Helpdesk / IT Ops,Jakarta Barat,44878751.0,"['networking', 'oracle']",Tidak Disebutkan,full time
Pengiklan Anonim,IT Security Specialist,Security / Cybersecurity,Jakarta Selatan,17000000.0,['cybersecurity'],S1,full time
PRIMA GROUP,IT Application Developer (Payment Switching),Other,Tangerang,,"['c', 'c#', 'flutter', 'java']",S1,full time
Shopee Internasional Indonesia,Helpdesk Engineer Intern - IT (Yogyakarta),Support / Helpdesk / IT Ops,Yogyakarta,,[],Tidak Disebutkan,kontrak/temporer
PT Swadharma Duta Data,IT Programmer,Other,Jakarta Pusat,6750000.0,"['.net', 'agile', 'android', 'c', 'c#', 'c++', 'ios', 'java', 'javascript', 'oracle', 'php', 'react', 'react native', 'sql', 'ui/ux', 'vue']",S1,kontrak/temporer
PT Bimasakti Multi Sinergi,Security Analyst (Threat & Vulnerability),Security / Cybersecurity,Sidoarjo,,[],Diploma,full time
PT Indo Online Mitra Usaha (Vox Asia / BraveHub),Managed Services Engineer (Level 2),Other,Bandung,,"['aws', 'azure', 'linux', 'networking', 'python', 'tcp/ip']",Diploma,full time
PT. Kredit Utama Fintech Indonesia,Internal Audit (IT),Other,Jakarta Pusat,12500000.0,[],S1,full time
PT JAC Consulting Indonesia,Business Analyst (Entry Level),Business / System Analyst,Jakarta Raya,7500000.0,"['excel', 'sql']",S1,full time
PT Indocyber Global Teknologi,React Native Developer,Frontend Engineer,Jakarta Raya,,"['javascript', 'react', 'react native', 'typescript', 'ui/ux']",S1,full time
PT. Lintas Teknologi Indonesia,Database Security Administrator for Integra (Placement in Bandung),Data / AI,Bandung,,"['postgresql', 'sql']",S1,full time
PT Pratesis,Product Owner - Internship,Product / Project / Scrum,Jakarta Selatan,,"['agile', 'jira', 'scrum']",Tidak Disebutkan,full time
PT Bank CTBC Indonesia,Cyber Security Engineer,Security / Cybersecurity,Jakarta Selatan,,[],S1,full time
PT IP Network Solusindo,Lead Network Engineer,Network / Infra / SysAdmin,Jakarta Pusat,,[],Tidak Disebutkan,full time
PT Indodev Niaga Internet,Senior AI Developer,Data / AI,South Tangerang,12500000.0,"['git', 'nlp']",S1,full time
PT Trinusa Travelindo,Senior Associate Product Operations Manager,Security / Cybersecurity,Jakarta Raya,,[],S1,full time
PT Bahari Eka Nusantara (Ben Line Agencies),Senior IT Data Analyst,Data / AI,Jakarta Selatan,,"['agile', 'aws', 'azure', 'power bi', 'python', 'scrum', 'sql']",S1,full time
PT Kodenusa Tekno Buana,Full Stack Engineer — Payment Gateway Integration,Fullstack Engineer,Jakarta Raya,7500000.0,"['git', 'mongodb', 'node.js', 'react']",Tidak Disebutkan,full time
PT Visionet Data Internasional,Oracle Developer,ERP / SAP / Odoo / Dynamics,Tangerang,,"['javascript', 'oracle', 'sql']",Diploma,kontrak/temporer
Pengiklan Anonim,Data Analyst Fleet,Data / AI,Jakarta Raya,5500000.0,"['excel', 'power bi', 'tableau']",S1,kontrak/temporer
PT Ako Media Asia,Backend Developer (Golang),Backend Engineer,Jakarta Barat,,"['aws', 'azure', 'c', 'c++', 'docker', 'go', 'git', 'java', 'mysql', 'spring boot', 'sql']",S1,kontrak/temporer
